rating,date,coment_title,coment_description
5,9 abril 2018,Organizacion y limpieza,"La comunidad que vive en la isla esta muy bien organizada y la mantiene limpia y con los caminos en optimo estado, al recorrerla se tienen vistas impresionantes del lago."
4,2 abril 2018,Tranquilidad absoluta,"Es una isla muy bonita, hay que caminar una pendiente muy larga para llegar al ""pueblo"" pero en dicha pendiente hay unas vistas hermosas así que lo disfrutas de cualquier manera. Nos ofrecieron en esta isla una deliciosa comida preparada por los lugareños así como la explicación de sus costumbres."
5,1 abril 2018,Inovidable,Una caminata un tanto empinada pero que te hará ver lo espectacular de sus vistas y sobre todo de su gente genuina.
5,31 marzo 2018,Pacífica y genuina.,"Excelente vibra. A diferencia de otros sitios turísticos, aquí, si te quedas, puedes hacer turismo creando tu propia experiencia, ya sea quedándote con las familias y conociéndolas o acampando una o hasta 3 noches. Fuera del típico guión de rebaño detrás del guía turístico y cronograma que hay para casi todos los demás destinos. Si vas ida y vuelta procura salir temprano para que te de más tiempo de pasear y comer, sino tendrás una hora apenas antes del regreso."
4,30 marzo 2018,La tercera Isla mas grande en el Lago Titicaca,"Es una Isla que se encuentra a una hora y cuarenta aproximadamente de la bahia de Puno. En la Isla pueden encontrar tejidos de alaca hechos a mano por los pobladores varones de la zona a muy buen precio. La vista en la plaza central en extraordinaria, para llegar a ella debes caminar unos 40 miutos cuesta arriba por un camino de piedras, fue un poco agotador.Les recomiendo que no acudan con niños menores de 08 años, porque puede ser muy agotador para ellos y la altura puede ""chocarles"" ya que esta a uno 4000 m.s.n.m."
5,29 marzo 2018,Un sitio ancestral y hermoso,"Tome unas fotos muy lindas en este sitio, aqui también se tiene contacto con la cultura indígena, nos dieron una sopa de quinua rica."
3,28 marzo 2018,interesante ,"La islita es bonita y tiene unas buenas vistas nosotros por el tour que escogimos solo estuvimos de paso comimos y nos fuimos, nuestro guía era bastante bueno y nos explico cosas sobre los habitantes de la misma de los cuales se ve que forman una pequeña comunidad y todos los beneficios o la mayor parte se los quedan en la isla para mejorar su infraestructura turistica y las necesidades de la isla."
5,26 marzo 2018,Espectacular !!!!,"Visitamos la parte sur de la isla , el paisaje es algo fuera de serie , según nos comentó el guía es considerada una de las 12 islas más bellas del mundo de acuerdo al National Grographic .La caminata es algo pesada para personas mayores y a paso tranquilo toma alrededor de 30 min para llegar a lo alto donde están los nativos para explicarte su cultura y ofrecerte tejidos a la venta . Allí mismo nos ofrecieron incluido en el tour una sopa de quinoa y trucha a la plancha . Vale la pena !!!!"
5,21 marzo 2018,Increíble,"La caminata y las vistas son increíbles! Alquilamos un tour que incluía el almuerzo en una casa con una súper vista.
Vale la pena visitarlo"
4,14 marzo 2018,impresionante vista del lago,"un poco cansado llegar a la cima de esta isla natural en medio de lago Titicaca pero valió la pena porque pudimos apreciar hermosos paisajes y nevados del lado boliviano.
comimos una trucha muy sabrosa."
5,11 marzo 2018,100% hermoso!,"Una hermosa isla para visitar, los paisajes son indescriptibles y la caminata vale 100% la pena. Muy muy hermoso!"
5,7 marzo 2018,Bonito,Excelente lugar para conocer la cultura Quechua de forma vivencial. Tradición que ha permanecido a través de los siglos.
5,6 marzo 2018,Vacaciones,Es una gran atracción turística ubicado en el lago titicaca se caracteriza por ser una isla o una cultura única en la cual los hombres tienen la habilidad de tejer.Lo más complejo es el ascenso a la Plaza Central ubicado en la parte alta de La Isla podrán encontrar locales de venta de artesanía y tejido y también disfrutar de almuerzos típicos de La Isla
3,6 marzo 2018,Normal,"La vista es muy bonita y la comida es rica pero no hay nada que hacer ademas de eso. el pueblo no es lindo, es muy normal. Sin embargo el paseo en el lago titikaka es bonito. Me recomendaron ir al lado de Bolivia que es mas lindo, pero no me dio teimpo, pero creo que es una buena opción."
5,5 marzo 2018,Lindo recorrido,"Isla muy tranquila, limpia y ordenada, los lugareños siguen hablando su idioma original y con antiguas vestimentas, muy pintoresco. Se puede recorrer toda la isla caminando siguiendo los senderos. Tiene muy linda vista del lago."
4,4 marzo 2018,Linda vista y buena caminata,"Es de las islas principales que se visitan en el Titicaca de el lado peruano. La caminata se puede hacer al ritmo de uno ya que hay varias paradas para descansar. En la cima hay una plaza en donde venden ropa tipica, tambien hay una tienda en donde pueden comprar helados muy ricos. Junto con la isla de Uros es una de las visitas imprecindibles si están en Puno."
4,4 marzo 2018,Excelente vista del Titicaca,Visitar la isla de Taquile vale mucho la pena para tener una increible vista del lago Titicaca y para conocer la cultura de la zona; a veces el turismo hace que lo que veas sea menos auténtico pero igual vale la pena
5,24 febrero 2018,Impresionante ,"Es la cereza del pastel. Algo que no debes dejar de hacer si estás por Puno.Tuvimos suerte y llegamos cuando cerraban las fiestas de carnavales. Pudimos ver sus desfiles, bailes y música propia de la isla.La trucha a la parrilla es deliciosa.Es un excelente lugar para tomar fotografías."
5,20 febrero 2018,Belleza de isla 😍🌅🏝️🏝️🏝️🏝️,"Situada a 2 horas de Puno, navegando el Titicaca, una hermosa Isla Natural, obligado si vas a Puno, hay que hacer una caminata para llegar a la plaza central, donde hay restaurantes que ofrecen comida de la zona, trucha frita y sopa de quinua. Este lugar me deja los mejores recuerdos de Puno. Es simplemente hermoso el contraste del cielo azul con lo verde de la vegetación y el lago."
5,19 febrero 2018,espectacular,"una hermosa isla de donde se puede apreciar la majestuosidad del lago Titicaca y los nevados del altiplano, la gente muy amable y cordial, fuimos recibidos muy bien con cánticos en diferentes idiomas. una hermosa experiencia"
