rating,date,coment_title,coment_description
5,9 abril 2018,Alucinante,"Navegarlo es obligatorio si visitas Puno, creo que uno no tiene idea de la magnitud del Lago hasta que esta alli."
1,4 abril 2018,Isla de Uros,"Fuimos a las islas de Uros y es todo un montaje turístico, no parece que viva nadie en esas condiciones. En fin, un negocio más."
5,1 abril 2018,Una experiencia inolvidable,"La isla de los uros, la Isla de Taquile, ... tantos recuerdos que hacen del Lago navegable más alto del mundo un escenario para recordar por siempre."
5,30 marzo 2018,El lago navegable mas alto del mundo,"Es un lugar fantastico, donde puedes encontrar a los pobladores de la zona, llamados los Uros, que se alojan en unas islas flotantes hechas de la vegetacion de la zona. Es extraordinario. Es imposible non visitarlo si se encuentran en Puno, un imperdible."
5,29 marzo 2018,Muy bonito,"Parte del encanto al visitar Puno, cuando vayan van a tener la oportunidad de disfrutar el recorrido e ir a conocer las islas flotantes de los Uros, es muy linda e interesante la experiencia."
5,26 marzo 2018,Hermoso !,"Nos tocó navegar a isla taquile que está como a 1.5 horas del muelle de puno .El día estaba hermoso , soleado , al agua color azul y se ve inmenso que no pareciera que fuera lago . Antes de ir a Taquile paramos en las islas flotantes de totora que están lindas !"
5,25 marzo 2018,Viaje familiar,"El recorrido en barca precioso vimos el poblado de los Uros nos encanto nos endeñaron sus costumbres y como viven, despues compras de lo realizan, y un paseo en sus canoas hechas de totora."
4,13 marzo 2018,Hermoso lago ,"Estuve 1 semana en Puno y principalmente en cerca al lago Titicaca. Qué sin lugar a dudas es un lago impresionante con mucha cultura y biodiversidad, pero hubo un pequeño detalle es cuando visite Uros, en lo absoluto no me agrado ya que parece más un lugar comercial que un lugar lleno de cultura viva, los pobladores un poco más y te obligan a comprar las artesanías que no son nada económicas, por lo demás todo estuvo de lo mejor."
5,11 marzo 2018,Muy hermoso!,"Todo el viaje en el Lago fue muy hermoso y relajante. El paisaje, en general, es cautivador. 100% recomendado!"
5,5 marzo 2018,Muy lindo,"Muy lindo lugar, muy limpia el agua, desde Puno salen botes todos los dias para navegar o ir a las distintas islas, y es economico."
5,4 marzo 2018,Vacaciones,Una maravilla de la naturaleza la cual puedas recorrer en lancha ahí tú Por 70 soles que te llevan a las lagunas flotantes de totora de los uros a la isla de taquile y dura aproximadamente unas 5 horas todo el trayecto puedes apreciar la Inmensidad del té lago más alto del mundo Navegar
5,4 marzo 2018,EXPERIENCIA FASCINANTE,"Viajar por el lago sagrado de los incas fue una experiencia maravillosa. La belleza de sus aguas profundas, sus islas, su gente, sus costumbres, su comida, me agradó bastante. Me quedaron ganas de volver."
5,25 febrero 2018,La mejor forma de despedirse de Bolivia e ingresar a Perú,"Estuve en el Lago el lado boliviano -Copacabana- en la Isla del Sol y del lado peruano -Puno. Las tres experiencias fueron diferentes y maravillosas, y valen la pena."
